EMPLOYEE_COUNT_BUCKET,GMV_BUCKET,SEGMENT,TOTAL_CUSTOMERS,SAAS_CUSTOMERS,NON_SAAS_CUSTOMERS,SAAS_PENETRATION_PCT
0-25,0-10k,Unassigned,19178,147,19031,0.77
0-25,10k-20k,Unassigned,1973,37,1936,1.88
0-25,20k-100k,BSC,2938,125,2813,4.25
0-25,100k-120k,BSC,164,13,151,7.93
0-25,120k-200k,Growth,325,38,287,11.69
0-25,200k-600k,Mid-Market,303,53,250,17.49
0-25,>600k,Enterprise,85,13,72,15.29
0-25,Unknown,Unknown,939,8,931,0.85
26-50,0-10k,Unassigned,1684,49,1635,2.91
26-50,10k-20k,Unassigned,273,15,258,5.49
26-50,20k-100k,BSC,673,63,610,9.36
26-50,100k-120k,BSC,78,14,64,17.95
26-50,120k-200k,Growth,111,24,87,21.62
26-50,200k-600k,Mid-Market,118,37,81,31.36
26-50,>600k,Enterprise,33,5,28,15.15
26-50,Unknown,Unknown,105,5,100,4.76
51-100,0-10k,Unassigned,1073,56,1017,5.22
51-100,10k-20k,BSC,183,18,165,9.84
51-100,20k-100k,BSC,640,127,513,19.84
51-100,100k-120k,Growth,68,18,50,26.47
51-100,120k-200k,Mid-Market,156,36,120,23.08
51-100,200k-600k,Mid-Market,171,64,107,37.43
51-100,>600k,Enterprise,63,31,32,49.21
51-100,Unknown,Unknown,90,16,74,17.78
101-250,0-10k,Unassigned,853,51,802,5.98
101-250,10k-20k,BSC,138,11,127,7.97
101-250,20k-100k,BSC,436,71,365,16.28
101-250,100k-120k,Growth,66,20,46,30.30
101-250,120k-200k,Mid-Market,153,43,110,28.10
101-250,200k-600k,Mid-Market,222,83,139,37.39
101-250,>600k,Enterprise,75,30,45,40.00
101-250,Unknown,Unknown,69,12,57,17.39
251-500,0-10k,Unassigned,325,39,286,12.00
251-500,10k-20k,BSC,58,8,50,13.79
251-500,20k-100k,BSC,166,38,128,22.89
251-500,100k-120k,Growth,17,11,6,64.71
251-500,120k-200k,Mid-Market,88,37,51,42.05
251-500,200k-600k,Mid-Market,112,62,50,55.36
251-500,>600k,Enterprise,49,29,20,59.18
251-500,Unknown,Unknown,42,14,28,33.33
501-1000,0-10k,Unassigned,132,20,112,15.15
501-1000,10k-20k,BSC,19,1,18,5.26
501-1000,20k-100k,BSC,76,21,55,27.63
501-1000,100k-120k,Growth,11,5,6,45.45
501-1000,120k-200k,Mid-Market,34,17,17,50.00
501-1000,200k-600k,Mid-Market,68,35,33,51.47
501-1000,>600k,Enterprise,41,24,17,58.54
501-1000,Unknown,Unknown,13,3,10,23.08
>1001,0-10k,Unassigned,220,28,192,12.73
>1001,10k-20k,Enterprise,16,2,14,12.50
>1001,20k-100k,Enterprise,70,24,46,34.29
>1001,100k-120k,Enterprise,9,1,8,11.11
>1001,120k-200k,Enterprise,30,18,12,60.00
>1001,200k-600k,Enterprise,69,41,28,59.42
>1001,>600k,Enterprise,71,59,12,83.10
>1001,Unknown,Unknown,9,0,9,0.00
