Hierarchy,Source,Order,Available,API Field Name,New?,Field Editability,Data Type,Help Text,Custom Logic,Field Visibility,Location of Field
Email Address,Rollup,0,Email,Email,,LOCKED- NOT Editable,,SoT for email on the contact. Not editable. View the website input fields below in order to verify source.,,,
,Manual,1,SFDC Override Email,SFDC_Override_Email__c,YES,**New override field - editable by everyone,Email,"If the email address displaying on the contact is incorrect, please use this field to update the main ""email"" displaying on the contact record.",,,
,Product,2,Signup Email,Signup_Email__c,,Not editable,,,,,
,Zoominfo,3,ZoomInfo Email,ZoomInfo_Email__c,,Editable only by admins,,,,,
,Zoominfo Alternate,4,ZoomInfo Alternate Email,Alternate_Email__c,,Editable only by admins,,,,,
,Harmonic,5,Harmonic Email Address,Harmonic_Email_Address__c,,Editable only by admins,,,,,
,Clay,,Clay Email Address,Clay_Email_Address__c,YES,Editable only by admins,Email,"This email address is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,,
,LinkedIn,,LinkedIn Email Address,LinkedIn_Email_Address__c,YES,Editable only by admins,Email,This is the email address from LinkedIn,,,
,,,,,,,,,,,
Brex Contact Title,Rollup,0,Brex Contact Title,Brex_Contact_Title__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for title on the contact. Not editable. View the title input fields below in order to verify source.,,,
,Manual,1,SFDC Override Title,SFDC_Override_Title__c,YES,**New override field - editable by everyone,Text,"If the title displaying on the contact is incorrect, please use this field to update the main ""title"" displaying on the contact record.",,,
,Zoominfo,2,ZoomInfo Title,ZoomInfo_Title__c,,Editable only by admins,,,,,
,LinkedIn,3,LinkedIn Title,LinkedIn_Title__c,YES,Editable only by admins,Text,This is the title from LinkedIn,,,
,Harmonic,4,Harmonic Title,Harmonic_Title__c,,Editable only by admins,,,,,
,Clay,5,Clay Title,Clay_Title__c,YES,Editable only by admins,Text,"This title is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,,
,Standard Title,6,Title,Title,,Editable only by admins,,Standard title field from Salesforce,,,
,,,,,,,,,,,
Brex Contact Phone,Rollup,0,Brex Contact Phone,Brex_Contact_Phone__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for office phone number on the contact. Not editable. View the phone number input fields below in order to verify source.,,,
,Manual,1,SFDC Override Phone,SFDC_Override_Phone__c,YES,**New override field - editable by everyone,Phone,"If the phone displaying on the contact is incorrect, please use this field to update the main ""phone"" displaying on the contact record.",,,
,Zoominfo,3,ZoomInfo Phone,ZoomInfo_Phone__c,,Editable only by admins,,,,,
,LinkedIn,4,LinkedIn Phone,LinkedIn_Phone__c,YES,Editable only by admins,Phone,This is the business phone from LinkedIn,,,
,Harmonic,5,Harmonic Phone Number,Harmonic_Phone_Number__c,,Editable only by admins,,,,,
,Clay,6,Clay Phone,Clay_Phone__c,YES,Editable only by admins,Phone,"This phone number is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,,
,Standard Phone,7,Phone,Phone,,Editable only by admins,,Standard phone number field from Salesforce,,,
,,,,,,,,,,,
Brex Contact Mobile,Rollup,0,Brex Contact Mobile,Brex_Contact_Mobile__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for mobile phone number on the contact. Not editable. View the mobile phone number input fields below in order to verify source.,,,
,Manual,1,SFDC Override Mobile,SFDC_Override_Mobile__c,YES,**New override field - editable by everyone,Phone,"If the mobile number displaying on the contact is incorrect, please use this field to update the main ""mobile"" displaying on the contact record.",,,
,Clay,3,Clay Mobile,Clay_Mobile__c,YES,Editable only by admins,Phone,"This mobile phone number is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,,
,Zoominfo,4,ZoomInfo Mobile Number,ZoomInfo_Mobile_Number__c,,Editable only by admins,,,,,
,Standard Mobile,5,Mobile,MobilePhone,,Editable only by admins,,Standard mobile number field from Salesforce,,,
,,,,,,,,,,,
